customer_id,age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre,churned
2d6081cb-4964-472e-ad69-86ebf0dd7c1c,47,Male,Standard,4.22,12,South America,Mobile,13.99,Debit Card,3,0.32,Drama,1
0ae85af3-f96d-4d82-a2a0-72b0c0db8529,20,Other,Standard,31.73,46,Africa,Tablet,13.99,Credit Card,1,0.68,Drama,0
7bab1710-b049-40ab-a51a-d4b81eb796ca,50,Female,Standard,16.83,11,South America,Tablet,13.99,Credit Card,2,1.4,Documentary,0
a954f81c-754f-4b5b-bf48-510a882ae1e6,66,Female,Basic,0.74,27,Oceania,Mobile,8.99,Crypto,3,0.03,Action,1
a6391928-52e9-4141-85d4-5a49f203a0fb,51,Other,Basic,36.62,43,North America,Laptop,8.99,Credit Card,4,0.83,Horror,0
a6af82cf-a6a1-4305-a839-e70b51783c32,36,Other,Basic,13.88,27,South America,TV,8.99,PayPal,3,0.5,Horror,0
89f7d229-8ad2-4553-8582-066a2af2ebed,39,Other,Basic,9.89,45,Africa,Mobile,8.99,Gift Card,4,0.22,Documentary,1
6034d060-391f-4f38-9ff7-870fb4d6c241,24,Other,Basic,1.97,39,Oceania,Mobile,8.99,Credit Card,3,0.05,Horror,1
8050afa7-ecbe-4ad4-a793-50f42ab423d3,58,Male,Standard,12.42,20,Oceania,Tablet,13.99,Credit Card,5,0.59,Romance,0
5b4c2040-0725-49cd-b8bb-0c1848fe1577,57,Female,Premium,0.98,59,Africa,Laptop,17.99,Debit Card,2,0.02,Documentary,1
0ad6fe46-9b24-46fc-9698-7001aa3c071b,64,Male,Standard,0.31,52,Europe,Desktop,13.99,Debit Card,1,0.01,Comedy,1
7a65b354-9f0c-44fa-a680-0e9d3c87c73e,59,Female,Premium,1.7,54,Oceania,TV,17.99,Crypto,3,0.03,Romance,1
bc14c635-9c82-42e0-9ea1-fb4cba7aacb5,63,Female,Basic,30.88,15,North America,TV,8.99,Gift Card,4,1.93,Comedy,0
f267db4a-af7e-447d-b5b2-09798e3160a4,41,Male,Basic,17.87,6,North America,Tablet,8.99,PayPal,1,2.55,Drama,0
595dbdea-9fbb-419c-9e52-4bf9e64d802e,54,Male,Premium,4.93,3,Asia,TV,17.99,Crypto,1,1.23,Documentary,0
3a5bfad8-d098-4418-bdbb-d15c889a2389,63,Female,Standard,1.33,29,Asia,Laptop,13.99,Credit Card,3,0.04,Horror,1
c82cb034-7c20-47af-901e-91379d90a183,23,Female,Premium,23.6,56,South America,TV,17.99,PayPal,4,0.41,Sci-Fi,0
1211c375-77c5-456b-b087-adb685025dd0,37,Female,Basic,5.78,22,Europe,Laptop,8.99,Crypto,2,0.25,Romance,1
94db0386-f234-4ee7-8aa0-dcc0ff457278,69,Female,Basic,10.1,24,Africa,TV,8.99,Credit Card,2,0.4,Sci-Fi,0
ff149146-918e-4a05-802a-08e696b05ca5,28,Female,Premium,0.01,7,South America,TV,17.99,Crypto,1,0.0,Sci-Fi,1
90826a68-bc7f-4a10-aa24-989fad597c30,27,Other,Basic,12.8,43,North America,TV,8.99,Debit Card,2,0.29,Horror,1
5144a8df-7f6d-4e84-9022-66f39e58bb68,22,Other,Basic,2.36,27,Oceania,Laptop,8.99,Crypto,3,0.08,Action,1
ab0f1851-f5da-466f-9a40-39ac5c454128,27,Other,Basic,0.18,7,Europe,Tablet,8.99,Gift Card,3,0.02,Drama,1
37eab84e-f904-41ee-9fa0-9160d1a8ac85,56,Female,Basic,20.91,35,North America,Tablet,8.99,Credit Card,4,0.58,Documentary,0
87224324-13d4-4c0c-b5a2-8f782c47cccd,52,Male,Standard,21.89,3,Europe,Mobile,13.99,PayPal,1,5.47,Horror,0
3c748cc8-fab5-41d0-971e-eba32b247a66,50,Other,Standard,26.57,34,Africa,Mobile,13.99,Credit Card,5,0.76,Documentary,0
48231d68-14ab-4cff-a17c-f9fb1022ba1a,43,Male,Standard,16.44,60,Africa,Laptop,13.99,Gift Card,4,0.27,Drama,1
fb18811c-c703-4f82-8119-20f4341d811e,26,Female,Premium,3.13,18,Oceania,Laptop,17.99,PayPal,5,0.16,Sci-Fi,0
8830a083-de96-4d43-a32b-e3862941a35d,30,Male,Basic,6.54,20,North America,Tablet,8.99,Debit Card,1,0.31,Drama,1
6f47f4c7-63e3-49c7-8e37-bbb0af66e9eb,60,Male,Standard,36.16,42,North America,TV,13.99,Gift Card,5,0.84,Drama,0
784bbf74-1bec-42e8-805d-d0a12579432c,28,Male,Standard,19.03,17,Europe,Laptop,13.99,Gift Card,2,1.06,Drama,0
70b0ba0c-2333-4ae5-9860-ec22b91ffc93,61,Other,Standard,3.49,23,North America,Laptop,13.99,Debit Card,1,0.15,Romance,1
5e0f5d5f-f7b8-4ad4-a56f-22b2bb3c43e4,48,Other,Basic,0.75,55,North America,Laptop,8.99,PayPal,5,0.01,Action,1
838a0849-d3c0-459d-be8a-3062f5c3c0f4,43,Female,Premium,12.51,47,Oceania,TV,17.99,Credit Card,1,0.26,Action,1
41f6124d-7959-4fc3-83af-7c634c843b10,39,Other,Premium,2.99,46,Europe,Tablet,17.99,Crypto,4,0.06,Romance,1
07bb46a2-c255-4133-8fec-c0b3ac944990,25,Female,Premium,0.27,60,North America,Tablet,17.99,Gift Card,1,0.0,Drama,1
9721209e-3147-456f-a2c0-81d23b4cf822,34,Male,Standard,10.25,41,Oceania,Desktop,13.99,Crypto,3,0.24,Documentary,1
e3e4232d-f726-423d-80bc-e293587b52d9,44,Female,Basic,6.71,40,Asia,Mobile,8.99,Crypto,1,0.16,Sci-Fi,1
8b5b904f-29d5-4933-ba64-957976fa103c,39,Female,Standard,12.72,16,North America,Desktop,13.99,Gift Card,3,0.75,Horror,0
80e4a598-68b9-48e1-8bc0-4dbfa54d769e,35,Female,Basic,26.9,49,South America,Desktop,8.99,Gift Card,2,0.54,Drama,0
240347ff-cafe-4b8b-86da-a0a0b6b8e162,43,Male,Basic,50.47,37,Africa,Laptop,8.99,Debit Card,4,1.33,Sci-Fi,0
8590233c-8a03-4da7-b235-d889a4ba10a7,27,Other,Premium,30.11,3,Africa,Mobile,17.99,Crypto,3,7.53,Romance,0
872edb94-4351-4086-b95a-9e27431cc43f,19,Male,Premium,11.32,31,Asia,Desktop,17.99,Debit Card,4,0.35,Action,0
72636137-36a1-4188-98f6-faaa54b0a5aa,32,Male,Standard,7.88,38,Europe,Tablet,13.99,Debit Card,1,0.2,Drama,1
a819f681-825a-48b6-9554-03c6ca09838b,39,Other,Standard,8.6,37,Europe,Mobile,13.99,Credit Card,4,0.23,Action,0
2773e85d-c7cf-4a74-885e-e2f0d15c50f5,21,Female,Premium,5.25,53,Oceania,Tablet,17.99,Debit Card,2,0.1,Comedy,1
8b0943cb-2fd8-4ef7-9255-13bf11e0932d,54,Female,Premium,11.6,33,Africa,TV,17.99,Gift Card,4,0.34,Horror,1
036b4a5f-d26d-40e3-ba14-669a725bdb1f,53,Male,Standard,13.02,41,Africa,TV,13.99,Gift Card,3,0.31,Romance,1
1560ad96-084e-4aee-9acd-5e46ee8105e4,65,Female,Basic,4.09,18,Europe,Mobile,8.99,Credit Card,2,0.22,Drama,1
284b8e48-b6ef-4947-a69b-4934f8509b51,32,Male,Premium,3.32,12,Asia,Laptop,17.99,PayPal,4,0.26,Horror,0
b72187e9-7572-4cc6-b79c-5b07cea9e128,52,Female,Basic,5.2,20,South America,TV,8.99,PayPal,3,0.25,Horror,0
fe3f068b-304f-4982-adbc-b2d992a4dfba,59,Other,Standard,8.76,11,Oceania,Laptop,13.99,Debit Card,3,0.73,Sci-Fi,0
d99b28e5-4ecf-4ac4-871b-e205b421c803,55,Male,Standard,13.16,57,Africa,Mobile,13.99,Crypto,5,0.23,Sci-Fi,1
2def8921-9bc9-4018-94e5-e01583cb4a8a,45,Female,Basic,5.12,25,Oceania,TV,8.99,Crypto,5,0.2,Horror,0
15af8821-bdd5-4c9b-8aff-88435d9efaae,44,Male,Standard,4.2,39,Asia,Laptop,13.99,PayPal,3,0.11,Action,1
682d7f24-bf51-4e54-a2d2-2e25a3e17b61,33,Female,Standard,1.33,3,Africa,Tablet,13.99,PayPal,5,0.33,Documentary,0
72556cf5-71a1-404b-bb96-e1d49e112ed3,30,Male,Premium,1.84,2,Oceania,Tablet,17.99,PayPal,2,0.61,Action,0
b2903ea6-d58c-4ffa-bf43-3e5e6a25ca06,69,Male,Standard,42.72,52,South America,Tablet,13.99,Crypto,3,0.81,Drama,0
e5cd7a56-d6f1-4023-81ab-11a379047f1d,67,Female,Standard,21.36,19,North America,Desktop,13.99,PayPal,4,1.07,Horror,0
936b242f-90a4-4a2b-a846-12c531c67df2,25,Male,Premium,22.64,14,Africa,Desktop,17.99,PayPal,2,1.51,Horror,0
dfbbbb1b-d847-42c1-920c-2e08ad6b3481,24,Male,Premium,9.02,26,North America,Desktop,17.99,Debit Card,4,0.33,Sci-Fi,0
94135b4f-6a37-41c4-8625-d91c4926ec68,64,Female,Standard,0.91,44,South America,TV,13.99,Debit Card,3,0.02,Horror,1
3b478fcf-d4a2-4c33-b050-0b45af3c0679,48,Male,Basic,0.31,37,Asia,Mobile,8.99,Crypto,2,0.01,Action,1
7106a199-919c-4dca-bcdd-50de7516208c,29,Other,Basic,9.08,39,Asia,Mobile,8.99,Gift Card,5,0.23,Horror,1
6236413f-44f4-4429-85ba-6ba5dbf37e89,61,Male,Premium,9.71,36,Asia,Laptop,17.99,Debit Card,1,0.26,Drama,1
43fb462c-015a-4412-ab1e-61798120a503,61,Female,Premium,0.78,33,North America,TV,17.99,PayPal,5,0.02,Sci-Fi,1
07c019ac-78fd-4f04-99b3-ed1efce17ed2,37,Male,Standard,4.65,15,Africa,Laptop,13.99,Credit Card,3,0.29,Horror,1
26024fd4-7715-4460-ae23-4e78f477a652,69,Female,Premium,1.75,6,Oceania,Mobile,17.99,PayPal,5,0.25,Romance,0
91c178ba-d603-4aa5-8a9f-f872b9e9ee38,43,Male,Standard,26.79,6,Africa,TV,13.99,Credit Card,3,3.83,Comedy,0
4e091ec6-3c1b-4649-aed7-cf99cc9da60d,29,Female,Standard,4.88,39,Oceania,Mobile,13.99,Credit Card,4,0.12,Horror,1
59adee7e-d7d6-4c22-b62c-1b42311f77a2,67,Female,Premium,2.92,38,Oceania,Desktop,17.99,Gift Card,5,0.07,Action,1
301e8131-5946-4245-ba48-2dc3fd552cb8,58,Male,Standard,6.88,22,Asia,Desktop,13.99,Crypto,3,0.3,Romance,0
7769cf6c-0c7c-4f5b-8807-03a2ccb516a7,34,Other,Standard,12.44,59,Asia,TV,13.99,Credit Card,4,0.21,Drama,0
da3695da-d79e-4240-be6f-e5252500e74c,23,Male,Basic,0.6,6,Oceania,Desktop,8.99,PayPal,3,0.09,Documentary,1
d786a211-3e93-4204-8b1d-e10f595bf093,40,Female,Basic,23.97,48,South America,Desktop,8.99,Debit Card,5,0.49,Action,0
ee612990-fd6f-4b96-95c5-4c3d64a961a7,64,Male,Basic,1.84,30,Oceania,Tablet,8.99,Credit Card,4,0.06,Sci-Fi,1
12a7aef2-17ed-466d-80e4-e176d2ca52b9,20,Other,Premium,5.12,18,Oceania,Desktop,17.99,PayPal,1,0.27,Action,0
18529d93-893a-4903-8289-5bc00dfbbbc6,35,Male,Standard,4.7,13,Oceania,Tablet,13.99,Crypto,4,0.34,Sci-Fi,1
8c4c751f-f5a4-4ac7-877d-1158db922567,38,Female,Basic,6.63,24,Europe,Mobile,8.99,Crypto,3,0.27,Drama,1
37b1f7e9-731b-45f0-8b64-0019780a7c3c,36,Male,Premium,25.23,53,Africa,Mobile,17.99,Crypto,2,0.47,Sci-Fi,0
027c06c0-4dec-43d4-91eb-d2a5a70f92e0,49,Female,Premium,0.48,35,North America,Laptop,17.99,PayPal,3,0.01,Sci-Fi,1
5387eb2d-2e8e-47aa-a12f-9202951e5f69,69,Male,Basic,1.13,24,Africa,Tablet,8.99,Credit Card,3,0.05,Romance,1
e9c0dcf8-d2f5-45de-8296-71b278906386,42,Other,Standard,1.11,14,Oceania,Mobile,13.99,Gift Card,2,0.07,Drama,1
09a76bc9-4048-4403-8087-a31cdb16556e,31,Male,Basic,48.35,11,Oceania,Desktop,8.99,Debit Card,5,4.03,Comedy,0
e8fda88a-2847-4cb4-b5a0-b7f0c3454405,67,Other,Standard,3.29,25,North America,Tablet,13.99,Crypto,1,0.13,Documentary,1
728cb69b-4920-4d86-83ce-8c89da725583,45,Male,Premium,17.57,37,Africa,TV,17.99,PayPal,4,0.46,Horror,0
27bb1f44-8d9c-4424-a509-1510f95fa759,24,Other,Standard,10.67,28,Asia,Tablet,13.99,PayPal,1,0.37,Horror,0
9836211a-c1be-4ccd-b56c-fe50e8f975fd,18,Male,Standard,3.57,50,Africa,Desktop,13.99,Debit Card,4,0.07,Horror,1
10e56352-8dce-4ba9-a452-87405310c972,57,Other,Standard,9.9,45,North America,Mobile,13.99,Debit Card,4,0.22,Documentary,0
fed18198-3eef-444c-825e-068b5729aac9,70,Other,Premium,22.22,5,Europe,TV,17.99,Credit Card,2,3.7,Romance,0
63f4e2e6-f646-430e-9f39-89f270669dc4,54,Other,Premium,13.49,4,Africa,Laptop,17.99,Debit Card,1,2.7,Action,0
f332b1a7-8ece-44df-8237-bbc843e979b5,21,Female,Standard,0.74,16,Asia,Desktop,13.99,Credit Card,5,0.04,Romance,0
aac86e6a-dd8e-4a52-9ab0-b6f14fd2911f,52,Other,Basic,0.4,54,Europe,Desktop,8.99,Debit Card,1,0.01,Romance,1
30add045-ab3e-4753-abfa-c317ec02730a,51,Male,Standard,12.91,42,North America,Tablet,13.99,Debit Card,1,0.3,Comedy,1
a1419778-cfb0-47d8-8e7a-bc5d093195d2,31,Other,Standard,4.11,33,North America,TV,13.99,Crypto,5,0.12,Drama,1
8792f856-e6dc-4e01-9e66-5da330500bb1,70,Other,Basic,26.98,57,North America,TV,8.99,Crypto,4,0.47,Horror,1
5226d599-736b-422f-bf60-186a26fdeaca,41,Other,Basic,18.51,8,Asia,Mobile,8.99,Credit Card,2,2.06,Drama,0
18c6f3b7-bdb7-4860-b12f-d614adedd94e,35,Female,Premium,9.97,13,Africa,TV,17.99,Debit Card,5,0.71,Drama,0
e4a0a6b2-3105-4153-8233-36a82a6f9b11,54,Female,Premium,11.96,37,Oceania,Desktop,17.99,Gift Card,3,0.31,Romance,1
6fdb47dd-024c-459a-955a-eb58b4306458,64,Other,Premium,0.34,1,Europe,Desktop,17.99,Gift Card,3,0.17,Comedy,1
ac8576dd-8167-485c-9452-c8fc0e559ed8,45,Female,Basic,9.77,16,Asia,Laptop,8.99,Gift Card,2,0.57,Romance,0
b54bde1d-fa6b-4376-8f85-5daf9af3baf0,65,Female,Basic,10.94,18,Asia,Laptop,8.99,Crypto,3,0.58,Sci-Fi,0
95b61ee7-ccc7-4c12-b422-3518fa9a9de9,34,Male,Standard,6.33,49,Europe,Laptop,13.99,Debit Card,4,0.13,Action,0
d1be299e-4ffd-47bf-9976-93a9c9456ba0,46,Other,Basic,2.04,26,North America,Mobile,8.99,Gift Card,4,0.08,Action,1
891545a3-c612-41af-b037-c9513bd65f4d,44,Other,Basic,18.32,52,Oceania,Tablet,8.99,Crypto,5,0.35,Comedy,1
cfe10e0f-1aac-495b-b869-4af2359dbb3a,21,Other,Standard,3.18,41,Europe,Laptop,13.99,PayPal,1,0.08,Documentary,1
1af70b1b-d756-415f-a5b4-3861139559d8,32,Female,Premium,4.46,40,South America,Mobile,17.99,Crypto,1,0.11,Comedy,1
2094b063-9307-43b4-93e2-c886a4267f3e,51,Male,Premium,10.86,46,Europe,Mobile,17.99,Credit Card,4,0.23,Sci-Fi,0
b68c53e7-4c9f-4258-95b7-c73c28850f7c,26,Other,Standard,20.49,53,Oceania,Laptop,13.99,Gift Card,5,0.38,Sci-Fi,0
25ca4e8b-4fed-408f-9f94-607529cdd07b,24,Female,Basic,6.73,16,Africa,Mobile,8.99,Crypto,4,0.4,Comedy,0
ac99a3e4-fbf6-4b32-82cc-76d8d2d528f1,57,Other,Premium,16.09,30,Europe,Desktop,17.99,Crypto,1,0.52,Horror,0
4e3cbc2a-8c21-4845-932b-bd5bbb02e10b,53,Female,Standard,26.91,19,North America,Tablet,13.99,Debit Card,2,1.35,Action,0
7cdf9e69-0b07-42dc-8aa9-225c8cdf6904,70,Male,Premium,18.46,8,North America,TV,17.99,Credit Card,4,2.05,Documentary,0
d202349e-dd45-42e7-84a9-fa604082763f,65,Female,Basic,26.98,0,South America,TV,8.99,Debit Card,2,26.98,Romance,0
03b2b19e-62cd-4c9e-a3ef-51cb27a687df,36,Other,Basic,16.65,36,Oceania,Tablet,8.99,Debit Card,2,0.45,Documentary,1
8bbf6861-d17e-4548-bf18-f7f295ce59dd,55,Other,Standard,3.19,45,South America,Mobile,13.99,Gift Card,2,0.07,Comedy,1
08141b17-2f86-464f-ac79-eac660142aab,58,Male,Standard,4.83,49,Asia,TV,13.99,PayPal,4,0.1,Documentary,1
ee076784-8841-4531-be9c-ca0b916c309a,35,Male,Standard,11.93,45,Europe,Desktop,13.99,Gift Card,1,0.26,Documentary,1
4c14bede-0e49-4c69-bd98-ad6fa46fed15,67,Male,Premium,18.54,58,Africa,Laptop,17.99,PayPal,5,0.31,Comedy,0
9d8fb170-2207-4356-9a79-049a27db6af1,47,Other,Standard,3.5,32,Europe,Tablet,13.99,Crypto,1,0.11,Sci-Fi,1
ab672cb5-ca3c-4c41-8f60-05033fd5a24f,70,Male,Standard,17.8,48,North America,Mobile,13.99,Gift Card,2,0.36,Drama,1
06938a8c-6c69-4e18-8c06-17a8f12f6019,25,Male,Basic,1.27,43,Asia,Mobile,8.99,Debit Card,2,0.03,Sci-Fi,1
5a8ba2fb-5253-47fd-8008-44384430edf1,29,Other,Premium,16.95,53,Africa,Mobile,17.99,PayPal,3,0.31,Romance,1
45fae5a6-eb08-4eae-9ec0-d6530ad02310,54,Other,Basic,7.19,56,North America,Desktop,8.99,Gift Card,2,0.13,Romance,1
f5463712-8752-4fb0-ae3f-30137078f44b,37,Other,Standard,10.87,1,Oceania,Mobile,13.99,Gift Card,5,5.43,Documentary,0
6836917d-1c7f-4651-861b-1c4ebbeb6020,66,Female,Basic,2.61,44,Oceania,TV,8.99,Credit Card,1,0.06,Action,1
baa40e1d-e279-4770-b5fa-1da71e3ab2e2,67,Female,Basic,9.91,18,North America,Desktop,8.99,Gift Card,5,0.52,Comedy,0
0451999d-c51d-4453-8015-9dc317341a30,23,Other,Premium,30.22,27,South America,Desktop,17.99,Gift Card,1,1.08,Sci-Fi,0
8036cdac-84b1-4b10-abd3-f32109c28d1e,45,Other,Basic,6.87,11,Europe,Laptop,8.99,Debit Card,3,0.57,Drama,0
ef61f409-a614-4271-986a-5d40d27e053c,25,Male,Basic,5.88,0,Europe,Mobile,8.99,Credit Card,3,5.88,Drama,0
0f1b36d1-4484-445c-b533-065818d12a59,19,Male,Premium,3.28,30,South America,Tablet,17.99,Crypto,5,0.11,Drama,1
29152433-d03d-4d65-bc6a-a13f5319a1d4,44,Male,Basic,1.45,18,South America,TV,8.99,Credit Card,4,0.08,Horror,1
68d59730-6ec5-4fe3-8c1a-8f3b7e60c047,62,Other,Premium,7.16,5,North America,Desktop,17.99,Gift Card,5,1.19,Romance,0
b906246e-44aa-441f-85c5-fc2aa946b0cb,59,Female,Standard,29.55,0,South America,Laptop,13.99,Crypto,5,29.55,Romance,0
1ee48ca0-f336-47e8-bc94-950b8fb7b8e4,39,Male,Standard,6.8,44,Africa,Desktop,13.99,Crypto,3,0.15,Romance,1
0687c494-6a02-4c35-9ed5-4932776b9162,49,Other,Premium,0.21,26,Oceania,TV,17.99,Debit Card,3,0.01,Documentary,1
17219697-8881-42f0-aba7-7ab8fdd11da9,41,Male,Premium,11.91,18,South America,Tablet,17.99,Credit Card,3,0.63,Action,0
b187ac76-4367-49b1-8c71-afb04eadbc52,57,Male,Premium,0.55,40,Oceania,Desktop,17.99,Credit Card,5,0.01,Sci-Fi,1
18f6b306-a34c-4cfc-9798-99a919a0992f,30,Male,Standard,0.74,0,South America,Laptop,13.99,Credit Card,4,0.74,Action,0
905edc2c-831c-4d3a-90e1-c80fd7f63a97,29,Female,Premium,15.26,49,North America,Tablet,17.99,Credit Card,1,0.31,Sci-Fi,1
b3210d44-92c1-40ad-b881-b560dda637c1,55,Male,Standard,2.7,31,Asia,TV,13.99,Debit Card,4,0.08,Sci-Fi,1
175442f3-3430-402e-8032-bd875f2163c2,47,Male,Standard,3.71,54,South America,Desktop,13.99,Crypto,5,0.07,Action,1
a7b3553d-e719-4b4d-802d-33622723dd5d,19,Female,Standard,10.38,58,Europe,Laptop,13.99,PayPal,5,0.18,Documentary,0
a5e64288-3362-4735-be6e-a09c1c044761,26,Other,Basic,23.33,27,North America,Mobile,8.99,Gift Card,1,0.83,Action,0
b281af12-1392-4e70-9dc8-b394fe8de6a8,52,Female,Standard,8.93,38,Africa,Desktop,13.99,Crypto,1,0.23,Horror,1
7e9ddb87-4b17-40c9-aa12-a070f3720693,18,Female,Standard,5.32,18,Asia,Desktop,13.99,Gift Card,3,0.28,Sci-Fi,0
ee53be31-fb36-41d9-8eb2-1a4c1d976552,31,Male,Premium,14.15,24,South America,Desktop,17.99,PayPal,5,0.57,Drama,0
cc8ec647-33c7-46cf-af2b-141363c9314f,19,Male,Basic,2.79,33,Oceania,Tablet,8.99,PayPal,4,0.08,Sci-Fi,1
080dac1d-54e2-4664-af52-56eb42281c72,59,Female,Standard,0.32,29,Africa,Mobile,13.99,Debit Card,4,0.01,Horror,0
1839b86b-6680-44d8-91d9-6875ad85997e,50,Male,Premium,4.6,6,North America,Tablet,17.99,PayPal,4,0.66,Sci-Fi,0
578a0a90-3fed-4c72-ba24-bb08903f1d4e,48,Male,Premium,19.56,58,Europe,Mobile,17.99,Credit Card,1,0.33,Action,1
16baff30-d637-4241-9b5f-1d0451f30375,40,Other,Premium,0.52,26,North America,Mobile,17.99,PayPal,2,0.02,Documentary,1
f60e85aa-2c80-4282-9a7e-885c5b1801fd,29,Other,Standard,2.22,34,North America,Tablet,13.99,Debit Card,4,0.06,Action,1
14b956af-aa78-468c-a20d-daabae23108d,64,Female,Premium,1.22,56,Asia,Desktop,17.99,Crypto,1,0.02,Comedy,1
c7370855-3032-43eb-988b-e8ac68458da1,25,Other,Premium,48.76,47,North America,Laptop,17.99,Crypto,1,1.02,Romance,0
35f91264-6cc8-4a3a-ba35-f41a1f8845b8,29,Female,Basic,5.55,20,South America,TV,8.99,Gift Card,2,0.26,Comedy,1
56ba0529-b5aa-48e2-ba5b-154e594ce824,57,Other,Premium,7.31,53,Oceania,Tablet,17.99,PayPal,3,0.14,Romance,1
5f2c7678-c330-4a6e-ab6b-2aa6446621e5,59,Female,Premium,6.0,8,South America,Desktop,17.99,Crypto,2,0.67,Documentary,0
9be09f8c-f7dc-49dd-8c6b-25c8f448d92f,70,Other,Standard,8.7,46,Asia,Mobile,13.99,Credit Card,3,0.19,Action,1
eb5b6e30-6cc5-4abf-a0e0-99faac5951e6,41,Male,Basic,9.42,19,South America,Mobile,8.99,PayPal,1,0.47,Documentary,1
0507202b-60a0-4db0-9d84-d54696712eb1,32,Other,Premium,16.39,27,Europe,Desktop,17.99,Gift Card,5,0.59,Horror,0
3a5fcf0b-57a7-4e8d-8afd-7bcf84b8adc5,63,Female,Standard,32.06,24,Europe,Desktop,13.99,Debit Card,3,1.28,Documentary,0
32c2a5bc-7e17-4fe3-85f0-b00105dde7dc,47,Male,Premium,7.42,47,Africa,Tablet,17.99,Crypto,4,0.15,Horror,1
